page,kind,flow_id,note
src/app/dashboard/assets/page.tsx,active,assets,
src/app/dashboard/audit/page.tsx,active,stock-count,
src/app/dashboard/collaborator/page.tsx,active,collaborator-dashboard,
src/app/dashboard/collaborator/schedule/page.tsx,active,collaborator-schedule,
src/app/dashboard/commercial/page.tsx,active,catalog,
src/app/dashboard/conversions/page.tsx,active,measure-conversion,
src/app/dashboard/documents/collaborators/page.tsx,active,employee-documents,
src/app/dashboard/documents/company/page.tsx,active,company-documents,
src/app/dashboard/documents/consents/[employeeId]/page.tsx,active,consents,
src/app/dashboard/documents/generated/page.tsx,active,document-generation,
src/app/dashboard/documents/generator/page.tsx,active,document-generation,
src/app/dashboard/documents/management/page.tsx,navigation,document-templates;document-generation,
src/app/dashboard/documents/page.tsx,navigation,employee-documents;company-documents;document-templates;document-generation,
src/app/dashboard/documents/templates/[id]/page.tsx,active,document-templates,
src/app/dashboard/documents/templates/page.tsx,active,document-templates,
src/app/dashboard/dp/collaborators/[userId]/documents/page.tsx,active,people-access,
src/app/dashboard/dp/collaborators/[userId]/edit/page.tsx,active,people-access,
src/app/dashboard/dp/collaborators/[userId]/page.tsx,active,people-access,
src/app/dashboard/dp/collaborators/page.tsx,active,people-access,
src/app/dashboard/dp/documents/page.tsx,active,employee-documents,
src/app/dashboard/dp/ferias/[userId]/page.tsx,active,vacations,
src/app/dashboard/dp/ferias/page.tsx,active,vacations,
src/app/dashboard/dp/page.tsx,active,dp-overview,
src/app/dashboard/dp/schedules/[id]/page.tsx,active,dp-schedules,
src/app/dashboard/dp/schedules/month/[period]/page.tsx,active,dp-schedules,
src/app/dashboard/dp/schedules/page.tsx,active,dp-schedules,
src/app/dashboard/dp/settings/calendars/[id]/page.tsx,active,dp-settings,
src/app/dashboard/dp/settings/calendars/page.tsx,redirect,dp-settings,/dashboard/settings?department=pessoal&tab=calendars
src/app/dashboard/dp/settings/collaborators/page.tsx,active,dp-settings,
src/app/dashboard/dp/settings/login-access/page.tsx,redirect,dp-settings,/dashboard/settings?department=pessoal&tab=login-access
src/app/dashboard/dp/settings/organogram/page.tsx,redirect,dp-settings,/dashboard/settings?department=pessoal&tab=organogram
src/app/dashboard/dp/settings/page.tsx,redirect,dp-settings,Destino escolhido por permissões no cliente
src/app/dashboard/dp/settings/profile-compliance/page.tsx,redirect,dp-settings,/dashboard/settings?department=pessoal&tab=profile-compliance
src/app/dashboard/dp/settings/roles/page.tsx,redirect,dp-settings,/dashboard/settings?department=pessoal&tab=roles
src/app/dashboard/dp/settings/shifts/page.tsx,redirect,dp-settings,/dashboard/settings?department=pessoal&tab=shifts
src/app/dashboard/dp/settings/units/page.tsx,redirect,dp-settings,/dashboard/settings?department=operacional&tab=units
src/app/dashboard/dp/terminations/[id]/page.tsx,active,termination,
src/app/dashboard/dp/terminations/page.tsx,active,termination,
src/app/dashboard/expiry/page.tsx,active,stock-control,
src/app/dashboard/financial/assets/page.tsx,active,financial-assets,
src/app/dashboard/financial/beneficiaries/page.tsx,redirect,registry,/dashboard/registration/entities
src/app/dashboard/financial/cash-closures/[kioskId]/[year]/[month]/[day]/page.tsx,active,cash-closures,
src/app/dashboard/financial/cash-closures/[kioskId]/[year]/[month]/page.tsx,active,cash-closures,
src/app/dashboard/financial/cash-closures/[kioskId]/page.tsx,active,cash-closures,
src/app/dashboard/financial/cash-closures/page.tsx,active,cash-closures,
src/app/dashboard/financial/cash-closures/sessions/[sessionId]/page.tsx,active,cash-closures,
src/app/dashboard/financial/cash-closures/sessions/new/page.tsx,active,cash-closures,
src/app/dashboard/financial/cash-deposits/page.tsx,active,cash-deposits,
src/app/dashboard/financial/cash-flow/agent/page.tsx,active,cash-flow,
src/app/dashboard/financial/cash-flow/page.tsx,active,cash-flow,
src/app/dashboard/financial/cash-flow/receivables/page.tsx,active,receivables,
src/app/dashboard/financial/dre/page.tsx,active,dre,
src/app/dashboard/financial/expenses/@modal/(.)new/page.tsx,special,expenses,parallel/intercept route
src/app/dashboard/financial/expenses/authorizations/page.tsx,active,payment-requests,
src/app/dashboard/financial/expenses/card-statements/page.tsx,active,card-statements,
src/app/dashboard/financial/expenses/import/page.tsx,active,expenses,
src/app/dashboard/financial/expenses/inbox/page.tsx,active,financial-inbox,
src/app/dashboard/financial/expenses/new/page.tsx,active,expenses,
src/app/dashboard/financial/expenses/page.tsx,active,expenses,
src/app/dashboard/financial/expenses/pending-audit/page.tsx,active,expenses,
src/app/dashboard/financial/financial-flow/page.tsx,redirect,cash-flow,/dashboard/financial/cash-flow
src/app/dashboard/financial/inbox/page.tsx,redirect,financial-inbox,/dashboard/financial/expenses/inbox
src/app/dashboard/financial/page.tsx,active,financial-overview,Painel com indicadores
src/app/dashboard/financial/payment-requests/page.tsx,redirect,payment-requests,/dashboard/financial/expenses/authorizations
src/app/dashboard/financial/reconciliation/card-statements/page.tsx,active,card-statements,
src/app/dashboard/financial/sales-reconciliation/page.tsx,active,sales-reconciliation,
src/app/dashboard/financial/settings/page.tsx,redirect,settings,/dashboard/settings
src/app/dashboard/financial/stone-anticipations/page.tsx,active,stone,
src/app/dashboard/forms/[id]/page.tsx,active,forms,
src/app/dashboard/forms/[id]/view/page.tsx,active,forms,
src/app/dashboard/forms/mine/page.tsx,active,forms,
src/app/dashboard/forms/models/[modelId]/page.tsx,active,forms,
src/app/dashboard/forms/models/new/page.tsx,active,forms,
src/app/dashboard/forms/page.tsx,active,forms,
src/app/dashboard/goals/analysis/page.tsx,active,goals,
src/app/dashboard/goals/history/page.tsx,active,goals,
src/app/dashboard/goals/page.tsx,redirect,goals,/dashboard/goals/tracking
src/app/dashboard/goals/registration/page.tsx,active,goals,
src/app/dashboard/goals/tracking/page.tsx,active,goals,
src/app/dashboard/help/page.tsx,active,help,
src/app/dashboard/hr/org-chart/page.tsx,active,organization,
